,Discipline,Language,Edited by,Publication details,History,Publisher,Frequency,Impact factor,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM ( alt ) · MathSciNet ( alt ),ISO 4,Indexing CODEN · JSTOR ( alt ) · LCCN ( alt ) MIAR · NLM ( alt ) · Scopus,CODEN,ISSN,LCCN,OCLC no.,Links,title,description,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM · MathSciNet,Former name(s),Open access,NLM,License,Editor,Categories,Year founded,Country,Website,OCLC,Indexing CODEN · JSTOR · LCCN MIAR · NLM · Scopus
43,Chemistry,English,David Peralta,David Peralta,2006–present,Wiley-VCH on behalf of Chemistry Europe,Biweekly,3.124 (2019),3.124 (2019),ChemMedChem,ChemMedChem,CHEMGX,1860-7179 (print)1860-7187 (web),,,1860-7179 (print)1860-7187 (web),ChemMedChem,"ChemMedChem is a biweekly peer-reviewed scientific journal covering medicinal chemistry. It is published by Wiley-VCH on behalf of Chemistry Europe. In addition to original research in the form of full papers and shorter communications, the journal contains review-type articles (reviews, minireviews, patent reviews, essays, highlights) as well as occasional book reviews and conference reports.
",,,,,,,,,,,,
44,Chemometrics,English,R. Tauler,R. Tauler,1986-present,Elsevier,10/year,2.303[1] (2016),2.303[1] (2016),Chemom. Intell. Lab. Syst.,Chemom. Intell. Lab. Syst.,,0169-7439,,13352494,13352494,Chemometrics and Intelligent Laboratory Systems,"Chemometrics and Intelligent Laboratory Systems is a peer-reviewed scientific journal sponsored by the Chemometrics Society and published since 1986 by Elsevier. The current editor-in-chief is R. Tauler (Barcelona, Spain).
",,,,,,,,,,,,
45,Physical chemistry,English,Greta Heydenrych,Greta Heydenrych,2000–present,Wiley-VCH on behalf of Chemistry Europe,Biweekly,3.144 (2019),3.144 (2019),ChemPhysChem,ChemPhysChem,CPCHFT,1439-4235 (print)1439-7641 (web),00256045,45745048,45745048,ChemPhysChem,"ChemPhysChem is a biweekly peer-reviewed scientific journal published by Wiley-VCH on behalf of Chemistry Europe. It was established in 2000 and covers all aspects of chemical physics and physical chemistry. Initially published monthly, the journal moved to 18 issues per year in 2007, and further to biweekly in 2016.
",,,Hybrid,,,,,,,,,
46,Chemistry,English,Jonathan Faiz,Jonathan Faiz,2012–present,Wiley-VCH on behalf of Chemistry Europe,Monthly,2.753 (2019),2.753 (2019),ChemPlusChem,ChemPlusChem,CHEMM5,2192-6506,,852682751,852682751,ChemPlusChem,"ChemPlusChem is a monthly peer-reviewed scientific journal covering chemistry and published by Wiley-VCH on behalf of Chemistry Europe. It was established in 1929 by E. Votoček and J. Heyrovský and renamed in 1939 to Collection tschechischer chemischer Forschungsarbeiten/Collection des travaux chimiques tchèques/Collection of Czech Chemical Communications for one year. Publication was suspended until 1947, when it resumed publication as Collection of Czechoslovak Chemical Communications. It obtained its current name in 2012.
",,"Collection tschechischer chemischer Forschungsarbeiten, Collection of Czechoslovak Chemical Communications",,,,,,,,,,
47,Chemistry,English,Silvana Maini,Silvana Maini,1983-present,Tekno Scienze Publisher,Bimonthly,0.538 (2015),0.538 (2015),Chim. Oggi – Chem. Today,Chim Oggi,CHOGDS,0392-839X (print)1973-8250 (web),,859566286,859566286,Chimica Oggi – Chemistry Today,"Chimica Oggi – Chemistry Today is a bimonthly peer-reviewed scientific journal published by Tekno Scienze Publisher, covering chemistry. It was established in 1983 and the editor-in-chief is Silvana Maini.
",,,,Chim Oggi,,,,,,,,
48,Chemistry,English,Jonathan Faiz,Jonathan Faiz,2012–present,Wiley-VCH on behalf of Chemistry Europe,Monthly,2.753 (2019),2.753 (2019),ChemPlusChem,ChemPlusChem,CHEMM5,2192-6506,,852682751,852682751,ChemPlusChem,"ChemPlusChem is a monthly peer-reviewed scientific journal covering chemistry and published by Wiley-VCH on behalf of Chemistry Europe. It was established in 1929 by E. Votoček and J. Heyrovský and renamed in 1939 to Collection tschechischer chemischer Forschungsarbeiten/Collection des travaux chimiques tchèques/Collection of Czech Chemical Communications for one year. Publication was suspended until 1947, when it resumed publication as Collection of Czechoslovak Chemical Communications. It obtained its current name in 2012.
",,"Collection tschechischer chemischer Forschungsarbeiten, Collection of Czechoslovak Chemical Communications",,,,,,,,,,
49,"Chemistry, crystallography",English,Andrew Shore,Andrew Shore,1999–present,Royal Society of Chemistry (United Kingdom),Biweekly,3.382 (2018),3.382 (2018),CrystEngComm,CrystEngComm,CRECF4,1466-8033,,42679031,42679031,CrystEngComm,"
",,,Hybrid,,,,,,,,,
50,Chemistry,English,Andrew Shore,Andrew Shore,"Journal of the Chemical Society A: Inorganic, Physical, Theoretical (1966–1971)Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972–2003)Dalton Transactions (2003–present)",Royal Society of Chemistry (United Kingdom),Weekly,4.052 (2018),4.052 (2018),Dalton Trans.,Dalton Trans.,DTARAF,1477-9226 (print)1477-9234 (web),2003242012,51500500,51500500,Dalton Transactions,"
",,,Hybrid,,,,,,,,,
51,,,,,,Royal Society of Chemistry,Bimonthly,,,,,,0013-1350,,,,Dalton Transactions,"Education in Chemistry (often referred to by its brand 'EiC') is a print and online magazine covering all areas of chemistry education,[1] mainly concentrating on the teaching of chemistry in secondary schools and universities.[2] It is published by the Royal Society of Chemistry,[3] which also publishes Chemistry Education Research and Practice, a peer-reviewed academic journal on the same topic.[1]
",,,,,,Paul MacLellan,Chemistry education,1964 (1964),United Kingdom,edu.rsc.org/eic,1567546,
52,Environmental science,English,Joseph Hupp,Joseph Hupp,2008-present,Royal Society of Chemistry (United Kingdom),Monthly,38.532 (2020),38.532 (2020),Energy Environ. Sci.,Energy Environ. Sci.,EESNBY,1754-5692 (print)1754-5706 (web),2009240440,256525221,256525221,Energy & Environmental Science,"Energy & Environmental Science is a monthly peer-reviewed scientific journal publishing original (primary) research and review articles. The journal covers work of an interdisciplinary nature in the biochemical and biophysical sciences and chemical and mechanical engineering disciplines. It covers energy area.[1] Energy & Environmental Science is published by the Royal Society of Chemistry and the editor-in-chief is Joseph Hupp, (Northwestern University, USA).
",,,,,,,,,,,,
53,"Chemistry, Fuels, Energy",English,Hongwei Wu,Hongwei Wu,1987-present,American Chemical Society (United States),Monthly,3.421 (2019),3.421 (2019),Energy Fuels,Energy Fuels,ENFUEM,0887-0624 (print)1520-5029 (web),87658131,13076751,13076751,Energy & Fuels,"Energy & Fuels is a peer-reviewed scientific journal published by the American Chemical Society. It was established in 1987. Its publication frequency switched from bimonthly to monthly in 2009. The editor-in-chief is Hongwei Wu (Curtin University).
",,,,,,,,,,,,
54,Environmental chemistry,English,Jamie Lead,Jamie Lead,2004-present,CSIRO Publishing,8/year,2.923 (2017),2.923 (2017),Environ. Chem.,Environ. Chem.,ECNHAA,1448-2517 (print)1449-8979 (web),,862992386,862992386,Environmental Chemistry,"Environmental Chemistry is a peer-reviewed scientific journal published by CSIRO Publishing. It covers all aspects of environmental chemistry, including atmospheric chemistry, (bio)geochemistry, climate change, marine chemistry, water chemistry, polar chemistry, fire chemistry, astrochemistry, earth and geochemistry, soil and sediment chemistry, and chemical toxicology. The editor-in-chief is Jamie Lead (University of South Carolina).
",,,,,,,,,,,,
55,Inorganic Chemistry,English,Preeti Vashi,Preeti Vashi,1998–present,Wiley-VCH on behalf of Chemistry Europe,Weekly,2.529 (2019),2.529 (2019),Eur. J. Inorg. Chem.,Eur. J. Inorg. Chem.,EJICFO,1434-1948 (print)1099-0682 (web),,,1434-1948 (print)1099-0682 (web),European Journal of Inorganic Chemistry,"The European Journal of Inorganic Chemistry is a weekly peer-reviewed scientific journal covering inorganic, organometallic, bioinorganic, and solid-state chemistry.[1] It is published by Wiley-VCH on behalf of Chemistry Europe.
",,,,,,,,,,,,
56,Medicinal chemistry,English,H. Galons,H. Galons,1966–present,Elsevier,Monthly,6.51 (2020),6.51 (2020),Eur. J. Med. Chem.,Eur. J. Med. Chem.,EJMCA5,0009-4374 (print)0223-5234 (web),,38945632,38945632,European Journal of Medicinal Chemistry,"The European Journal of Medicinal Chemistry is a monthly peer-reviewed scientific journal covering medicinal chemistry and published by Elsevier. It was established in 1966 as Chimica Therapeutica (CODEN: CHTPBA) and obtained its current title in 1974. From 1974 to 1981 the journal was still subtitled as Chimica Therapeutica and from 1982 to 1986 the subtitle was Chimie Thérapeutique, indicating its French origin. And now it is the journal of the French Société de Chimie Thérapeutique.
",,Chimica Therapeutica,,,,,,,,,,
57,Organic chemistry,English,Anne Nijs,Anne Nijs,1998–present,Wiley-VCH on behalf of Chemistry Europe,Weekly,2.889 (2019),2.889 (2019),Eur. J. Org. Chem.,Eur. J. Org. Chem.,EJOCFK,1434-193X (print)1099-0690 (web),,,1434-193X (print)1099-0690 (web),European Journal of Organic Chemistry,"The European Journal of Organic Chemistry is a weekly peer-reviewed scientific journal covering organic chemistry. It is published by Wiley-VCH on behalf of Chemistry Europe.
",,,,,,,,,,,,
58,"Physical chemistry, chemical physics",English,Philippa Ross,Philippa Ross,1947-present,Royal Society of Chemistry (United Kingdom),8/year,3.427 (2017),3.427 (2017),Faraday Discuss.,Faraday Discuss.,FDISE6,1359-6640 (print)1364-5498 (web),74642310,40343517,40343517,Faraday Discussions,"Faraday Discussions is a scientific journal publishing original research papers presented at a long-running series of conferences on physical chemistry, chemical physics and biophysical chemistry which are also called Faraday Discussions, together with a record of the comments made at the meeting. The journal was originally published by the Faraday Society. The journal has been published by the Royal Society of Chemistry (RSC) since that society merged into the RSC. From 1972 to 1991, it was known as the Faraday Discussions of the Chemical Society. Traditionally there have been three Faraday Discussions a year, however, from 2014 around eight conferences (and therefore eight volumes of the journal) are organised annually.
",,Faraday Discussions of the Chemical Society,,,,,,,,,,
59,Chemistry,English,Rosemary Whitelock,Rosemary Whitelock,1905–1998,Royal Society of Chemistry (United Kingdom),,1.757 (1998),1.757 (1998),J. Chem. Soc. Faraday Trans.,J. Chem. Soc. Faraday Trans.,JCFTEV,0956-5000,90659044,20905692,20905692,"Journal of the Chemical Society, Faraday Transactions","The Journal of the Chemical Society, Faraday Transactions was a peer-reviewed scientific journal published from 1905 until 1998. The journal was originally published by the Faraday Society under the name Transactions of the Faraday Society and was renamed in 1972.
",,"Transactions of the Faraday Society; Journal of the Chemical Society, Faraday Transactions I; Journal of the Chemical Society, Faraday Transactions II",,,,,,,,,,
60,Analytical chemistry,English,"Thomas C. Meisel, Jacinta Enzweiler, Mary F. Horan, Kathryn L. Linge, Christophe R. Quétel, Paul J. Sylvester","Thomas C. Meisel, Jacinta Enzweiler, Mary F. Horan, Kathryn L. Linge, Christophe R. Quétel, Paul J. Sylvester",1977-present,Wiley-Blackwell on behalf of the International Association of Geoanalysts,Quarterly,4.256 (2018),4.256 (2018),Geostand. Geoanalytical Res.,Geostand. Geoanalytical Res.,GGREA3,0150-5505,2004251126,609937634,0150-5505,Geostandards and Geoanalytical Research,"Geostandards and Geoanalytical Research is a quarterly peer-reviewed scientific journal covering reference materials, analytical techniques, and data quality relevant to the chemical analysis of geological and environmental samples. The journal was established in 1977 as Geostandards Newsletter and modified its title in 2004. The editors-in-chief are Thomas C. Meisel, Jacinta Enzweiler, Mary F. Horan, Kathryn L. Linge, Christophe R. Quétel and Paul J. Sylvester. It is published by Wiley-Blackwell on behalf of the International Association of Geoanalysts. The journal is a hybrid open-access journal, publishing both subscription and open access articles.[1]
",,Geostandards Newsletter: The Journal of Geostandards and Geoanalysis,,,,,,,,,,
61,"Chemistry, chemical engineering",English,Philip Jessop,Philip Jessop,1999-present,Royal Society of Chemistry (United Kingdom),Monthly,9.405 (2018),9.405 (2018),Green Chem.,Green Chem.,GRCHFJ,1463-9262 (print)1463-9270 (web),sn99003788,40966731,40966731,Green Chemistry,"Green Chemistry is a monthly peer-reviewed scientific journal covering every aspect of sustainable chemistry and its implementation in chemical engineering. It is published by the Royal Society of Chemistry and was established in 1999 by James Clark (University of York). Articles published in this journal are intended to be conceptually accessible to a wide audience. According to the Journal Citation Reports, the journal has a 2017 impact factor of 9.405.[1]
",,,,,,,,,,,,
62,Chemistry,English,,English,1918–present,John Wiley & Sons (Switzerland),Monthly,2.309 (2019),2.309 (2019),Helv. Chim. Acta,Helv. Chim. Acta,,0018-019X,,,0018-019X,Helvetica Chimica Acta,"Helvetica Chimica Acta is a scientific journal of chemistry established by the Swiss Chemical Society. It is published online by John Wiley & Sons. The journal has a 2019 impact factor of 2.309.[1]
",,,,,,,,,,,,
63,Inorganic Chemistry,English,William Tolman,William Tolman,1962-present,American Chemical Society (United States),Biweekly,5.165 (2020),5.165 (2020),Inorg. Chem.,Inorg. Chem.,INOCAJ,0020-1669 (print)1520-510X (web),,,0020-1669 (print)1520-510X (web),Inorganic Chemistry,"Inorganic Chemistry is a biweekly peer-reviewed scientific journal published by the American Chemical Society since 1962. It covers research in all areas of inorganic chemistry.
",,,,,,,,,,,,
64,Hydrogen energy,English,T. Nejat Veziroglu,T. Nejat Veziroglu,1976—present,Elsevier,Weekly,5.816 (2020),5.816 (2020),Int. J. Hydrog. Energy,Int. J. Hydrog. Energy,IJHEDX,0360-3199,76644490,884093395,884093395,International Journal of Hydrogen Energy,"The International Journal of Hydrogen Energy is a peer-reviewed scientific journal covering all aspects of  hydrogen energy, including hydrogen generation and storage. It is published by Elsevier and is an official journal of the International Association for Hydrogen Energy. Established in 1976, the journal became monthly in 1982, biweekly in 2008, 36/yr in 2013, and weekly in 2015. The editor in chief is Turhan Nejat Veziroğlu (University of Miami).
",,,,,,,,,,,,
65,Quantum chemistry,English,,English,1967-present,John Wiley & Sons,24/year,2.263 (2018),2.263 (2018),Int. J. Quantum Chem.,Int. J. Quantum Chem.,,0020-7608 (print)1097-461X (web),,1753588,1753588,International Journal of Quantum Chemistry,"The International Journal of Quantum Chemistry is a peer-reviewed scientific journal publishing original, primary research and review articles on all aspects of quantum chemistry, including an expanded scope focusing on aspects of materials science, biochemistry, biophysics, quantum physics, quantum information theory, etc.[1]
",,,Hybrid,,,,,,,,,
66,Chemistry,English,,English,2008 to present,"Department of Power Engineering, ICT Prague (Czech Republic)",,,All papers are freely accessible,Ion Exch. Lett.,Ion Exch. Lett.,IELOAB,1803-4039,,,1803-4039,Ion Exchange Letters,"Ion Exchange Letters is an open access scientific journal. This journal was established in 2008[1] to provide a platform for students and young scientists to publish letters and short communications. Journal covers following fields:
",,,All papers are freely accessible,,,,,,,,,
67,Analytical chemistry,English,,English,1986-present,Royal Society of Chemistry (United Kingdom),Monthly,3.466 (2014),3.466 (2014),J. Anal. At. Spectrom.,J. Anal. At. Spectrom.,JASPE2,0267-9477 (print)1364-5544 (web),,,0267-9477 (print)1364-5544 (web),Journal of Analytical Atomic Spectrometry,"The Journal of Analytical Atomic Spectrometry is a peer-reviewed scientific journal publishing original (primary) research and review articles covering all areas of modern spectrometry including fundamental theory, practice and analytical applications. It is published monthly by the Royal Society of Chemistry, the editor-in-chief is May Copsey. The journal replaced Annual Reports on Analytical Atomic Spectroscopy (1971–1984) in 1986 and has a 2014 impact factor of 3.466.[1]
",,,,,,,,,,,,
68,Chemistry,German,"
Johannes Rudolf von Wagner (1855–1880)
Ferdinand Fischer (1880–?)
","
Johannes Rudolf von Wagner (1855–1880)
Ferdinand Fischer (1880–?)
",1855–?,,,,,Jahresber. über Leist. chem. Technol.,,,,,712586073,,Jahres-Bericht über die Leistungen der chemischen Technologie,"The Jahres-Bericht über die Leistungen der chemischen Technologie was a German scientific journal on chemistry, pharmacy and metallurgy, published from 1855 to at least 1935.[1]
",1855–?,"
Jahres-Bericht über die Fortschritte und Leistungen der chemischen Technologie und Technischen Chemie (1859–1864)
Jahres-Bericht über die Fortschritte der chemischen Technologie für Fabrikanten, Chemiker, Pharmaceuten, Hütten- und Forstleute und Cameralisten (1855–1858)
",,,,,,,,,,Jahresber. über Leist. chem. Technol.
69,"Applied chemistry, food science",English,Thomas F. Hofmann,Thomas F. Hofmann,1953–present,American Chemical Society (United States),Weekly,5.279 (2020),5.279 (2020),J. Agric. Food Chem.,J. Agric. Food Chem.,JAFCAU,0021-8561 (print)1520-5118 (web),,,0021-8561 (print)1520-5118 (web),Journal of Agricultural and Food Chemistry,"The Journal of Agricultural and Food Chemistry is a weekly peer-reviewed scientific journal established in 1953 by the American Chemical Society.[1] Since 2015, Thomas Hofmann (Technical University of Munich) has been the editor-in-chief.[2]
",,,,,,,,,,,,
70,Chemistry,English,Erick M. Carreira,Erick M. Carreira,1879–present,American Chemical Society (United States),Weekly,15.419[1] (2020),15.419[1] (2020),J. Am. Chem. Soc.,J. Am. Chem. Soc.,JACSAT,0002-7863 (print)1520-5126 (web),16003159,01226990,01226990,Journal of the American Chemical Society,"The Journal of the American Chemical Society (also known as JACS) is a weekly peer-reviewed scientific journal that was established in 1879 by the American Chemical Society.[2] The journal has absorbed two other publications in its history, the Journal of Analytical and Applied Chemistry (July 1893) and the American Chemical Journal (January 1914). It publishes original research papers in all fields of chemistry. Since 2021, the journal is edited by Erick M. Carreira (ETH Zurich).[3] In 2014, the journal moved to a hybrid open access publishing model.
",,,,,,,,,,,,
71,Polymer science,English,Stefan Spiegel,Stefan Spiegel,1959-present,John Wiley & Sons,Bimonthly,3.125 (2020),3.125 (2020),J. Appl. Polym. Sci.,J. Appl. Polym. Sci.,,0021-8995 (print)1097-4628 (web),,,0021-8995 (print)1097-4628 (web),Journal of Applied Polymer Science,"The Journal of Applied Polymer Science is a peer-reviewed scientific journal covering  polymer science. The journal covers all applications of synthetic and renewably sourced polymers, including batteries and fuel cells, organic electronics, biomedical implants and drug delivery, coatings and packaging. It also covers composites, blends, elastomers, films and membranes, fibers, emulsions and latices, degradation of polymers, block co-polymers, hydrogels, foams, nanostructured polymers, as well as innovative synthesis and processing techniques. According to the Journal Citation Reports, the journal has a 2019 impact factor of 2.52.[1]
",,,,,,,,,,,,
72,BiochemistryMolecular biology,English,Alex TokerHerbert Tabor,Alex TokerHerbert Tabor,1905–present,American Society for Biochemistry and Molecular Biology (United States),Weekly,5.157 (2020),5.157 (2020),J. Biol. Chem.,J. Biol. Chem.,JBCHA3,0021-9258 (print)1083-351X (web),06046735,54114375,54114375,Journal of Biological Chemistry,"The Journal of Biological Chemistry (JBC) is a weekly peer-reviewed scientific journal that was established in 1905.[1] Since 1925, it is published by the American Society for Biochemistry and Molecular Biology. It covers research in areas of biochemistry and molecular biology. The editor is Alex Toker.[2][3] As of January 2021, the journal is fully open access.[4] In press articles are available free on its website immediately after acceptance.
",,,Yes,,CC BY / CC BY-NC-ND,,,,,,,
73,"Life sciences, chemistry",English,Lawrence Que,Lawrence Que,1996-present,Springer Science+Business Media,8/year,2.538 (2014),2.538 (2014),J. Biol. Inorg. Chem.,J. Biol. Inorg. Chem.,JJBCFA,0949-8257 (print)1432-1327 (web),,36118565,36118565,Journal of Biological Inorganic Chemistry,"Journal of Biological Inorganic Chemistry is a peer-reviewed scientific journal. It is an official publication of the Society of Biological Inorganic Chemistry and published by Springer Science+Business Media.
",,,,,,,,,,,,
74,Chemistry,"Portuguese, some English",,"Portuguese, some English",1990 (1990)–present,Sociedade Brasileira de Química (Brazil),,1.444 (2017),1.444 (2017),J. Braz. Chem. Soc.,J. Braz. Chem. Soc.,JOCSET,0103-5053 (print)1678-4790 (web),,,0103-5053 (print)1678-4790 (web),Journal of the Brazilian Chemical Society,"The Journal of the Brazilian Chemical Society (print ISSN 0103-5053, eISSN ISSN 1678-4790, CODEN JOCSET) is a Brazilian scientific journal in chemistry. It was founded in 1990 and is published by the Brazilian Society of Chemistry (Sociedade Brasileira de Química), located at the Instituto de Química da Universidade de São Paulo. The journal is online, and the full text is freely available. According to the Journal Citation Reports, the journal has a 2014 impact factor of 1.129, ranking it 100th out of 157 journals in the category ""Chemistry Multidisciplinary"".[1]
",,,,,,,,,,,,
75,Catalysis,English,Johannes A. Lercher,Johannes A. Lercher,1962-present,Elsevier,Monthly,6.921 (2014),6.921 (2014),J. Catal.,J. Catal.,JCTLA5,0021-9517 (print)1090-2694 (web),64005979,1783064,1783064,Journal of Catalysis,"The Journal of Catalysis is a monthly peer-reviewed scientific journal covering research on all aspects of heterogeneous and homogeneous catalysis. It is published by Elsevier and it was established in 1962 by Jan Hendrik de Boer and P. W. Selwood. The current editor-in-chief is Johannes A. Lercher (Technische Universität München).[1] Other members of the editorial board include Bert Weckhuysen and Joachim Sauer.[1] Former editors-in-chief have been F. S. Stone, W. K. Hall, G. L. Haller, W. N. Delgass, and E. Iglesia.
",,,,,,,,,,,,
76,Chemistry education,English,Norbert J. Pienta,Norbert J. Pienta,1924–present,American Chemical Society (United States),Monthly,1.758 (2017),1.758 (2017),J. Chem. Educ.,J. Chem. Educ.,JCEDA8,0021-9584,,01754494,01754494,Journal of Chemical Education,"The Journal of Chemical Education is a monthly peer-reviewed academic journal available in both print and electronic versions. It is published by the Division of Chemical Education of the American Chemical Society and was established in 1924 by Neil Gordon.[1] The journal covers research on chemical education, and its target audience includes instructors of chemistry from middle school through graduate school and some scientists in commerce, industry, and government.[2]
",,,,,,,,,,,,
77,Cheminformatics,English,Kenneth M. Merz Jr.,Kenneth M. Merz Jr.,1961-present,American Chemical Society (United States),Monthly,4.549 (2019),4.549 (2019),J. Chem. Inf. Model.,J. Chem. Inf. Model.,JCISD8,1549-9596 (print)1520-5142 (web),2004212268,54952610,54952610,Journal of Chemical Information and Modeling,"The Journal of Chemical Information and Modeling is a peer-reviewed scientific journal published by the American Chemical Society. It was established in 1961 as the Journal of Chemical Documentation, renamed in 1975 to Journal of Chemical Information and Computer Sciences, and obtained its current name in 2005. The journal covers the fields of chemical informatics and molecular modeling. The editor-in-chief is Kenneth M. Merz Jr. (Michigan State University). The journal supports Open Science approaches.[1]
",,"Journal of Chemical Documentation, Journal of Chemical Information and Computer Sciences",,,,,,,,,,
78,Chemical physics,English,,English,1933–present,American Institute of Physics (United States),weekly,3.48 (2020),3.48 (2020),J. Chem. Phys.,J. Chem. Phys.,JCPSA6,0021-9606 (print)1089-7690 (web),,,0021-9606 (print)1089-7690 (web),The Journal of Chemical Physics,"The Journal of Chemical Physics is a scientific journal published by the American Institute of Physics that carries research papers on chemical physics.[1]  Two volumes, each of 24 issues, are published annually. It was established in 1933 when Journal of Physical Chemistry editors refused to publish theoretical works.[2]
",,,,,,,,,,,,
79,Chemistry,English,S. Natarajan,S. Natarajan,1978-present,Springer Science+Business Media on behalf of the Indian Academy of Sciences (India),"2020: One volume per year
2015-2019: 12 issues per year

1978-2014: 6 issues per year",1.406 (2019),1.406 (2019),J. Chem. Sci.,J. Chem. Sci.,JCSBB5,0974-3626 (print)0973-7103 (web),2004325296,54675731,54675731,Journal of Chemical Sciences,"2015-2019: 12 issues per year
",,"Proceedings of the Indian Academy of Sciences, Part A",,,,,,,,,,
80,Chemistry,English,,English,1849–1996,Chemical Society (United Kingdom),,,,J. Chem. Soc.,,,,,,J. Chem. Soc.,Journal of the Chemical Society,"The Journal of the Chemical Society was a scientific journal established by the Chemical Society in 1849 as the Quarterly Journal of the Chemical Society. The first editor was Edmund Ronalds. The journal underwent several renamings, splits, and mergers throughout its history. In 1980, the Chemical Society merged with several other organizations into the Royal Society of Chemistry. The journal's continuity is found in Chemical Communications, Dalton Transactions, Faraday Transactions, and Perkin Transactions, all of which are published by the Royal Society of Chemistry.
",Chemical Society (United Kingdom),,,,,,,,,,,
81,Chemistry,English,Muhammad Iqbal Bhanger,Muhammad Iqbal Bhanger,1978–present,Chemical Society of Pakistan (Pakistan),Bimonthly,,Bimonthly,J. Chem. Soc. Pak.,J. Chem. Soc. Pak.,JCSPDF,0253-5106,80646744,6571343,6571343,Journal of the Chemical Society of Pakistan,"The Journal of the Chemical Society of Pakistan is a bimonthly peer-reviewed scientific journal covering the field of chemistry. It is published by the Chemical Society of Pakistan and was established in 1978. The editor-in-chief is Muhammad Iqbal Bhanger (University of Karachi). The journal is abstracted and indexed in  the Science Citation Index Expanded and Current Contents/Physical, Chemical & Earth Sciences.[1] According to the Journal Citation Reports, the journal did not receive and impact factor over 2012 because of ""anomalous citation patterns resulting in a significant distortion of the Journal Impact Factor"".[2]
",,,,,,,,,,,,
82,Thermodynamics,English,"A. Pádua, J.P.M. Trusler, R. Weir","A. Pádua, J.P.M. Trusler, R. Weir",1969-present,Elsevier,Monthly,2.196 (2015),2.196 (2015),J. Chem. Thermodyn.,J. Chem. Thermodyn.,JCTDAF,0021-9614,70005751,01243408,01243408,The Journal of Chemical Thermodynamics,"The Journal of Chemical Thermodynamics is a monthly peer-reviewed scientific journal covering experimental thermodynamics and thermophysics including bio-thermodynamics, calorimetry, phase equilibria, equilibrium thermodynamic properties and transport properties. It is published by Elsevier. The editors-in-chief are A. Pádua, J.P.M. Trusler, and R. Weir.
",,,,,,,,,,,,
83,Cheminformatics,English,"Rajarshi Guha, Egon Willighagen","Rajarshi Guha, Egon Willighagen",2009-present,BioMed Central,Upon acceptance,5.514 (2020),5.514 (2020),J. Cheminformatics,J. Cheminformatics,JCOHB3,1758-2946,,320093938,320093938,Journal of Cheminformatics,"The Journal of Cheminformatics is a peer-reviewed open access scientific journal that covers cheminformatics and molecular modelling.[1][2] It was established in 2009 with David Wild (Indiana University) and Christoph Steinbeck (then at EMBL-EBI) as founding editors-in-chief, and was originally published by Chemistry Central.[3] At the end of 2015, the Chemistry Central brand was retired and its titles, including Journal of Cheminformatics, were merged with the SpringerOpen portfolio of open access journals.[4]
",,,Yes,,Creative Commons Attribution,,,,,,,
84,Chemistry,English,,English,1987-present,John Wiley & Sons,Monthly,1.50 (2014),1.50 (2014),J. Chemom.,J. Chemom.,JOCHEU,0886-9383 (print)1099-128X (web),87655700,637417052,637417052,Journal of Chemometrics,"The Journal of Chemometrics is a monthly peer-reviewed scientific journal published since 1987 by John Wiley & Sons. It publishes original scientific papers, reviews, and short communications on fundamental and applied aspects of chemometrics. The current editor-in-chief is Paul J. Gemperline (East Carolina University).
",,,,,,,,,,,,
85,Analytical chemistry,English,"J.G. Dorsey, S. Fanali, P.R. Haddad, R.W. Giese, H.K. Lee, C.F. Poole, M.L. Riekkola, P.J. Schoenmakers, N. Tanaka","J.G. Dorsey, S. Fanali, P.R. Haddad, R.W. Giese, H.K. Lee, C.F. Poole, M.L. Riekkola, P.J. Schoenmakers, N. Tanaka",1958-present,Elsevier,Weekly,4.169 (2014),4.169 (2014),J. Chromatogr. A,J. Chromatogr. A,JCRAEY,0021-9673 (print)1873-3778 (web),94659073,29336194,29336194,Journal of Chromatography A,"The Journal of Chromatography A is a peer-reviewed scientific journal publishing research papers in analytical chemistry, with a focus on techniques and methods used for the separation and identification of mixtures.
",,,,,,,,,,,,
86,Chemistry,English,R.D. Adams,R.D. Adams,1990-present,Springer Science+Business Media,Quarterly,1.302 (2014),1.302 (2014),J. Clust. Sci.,J. Clust. Sci.,JCSCEB,1040-7278 (print)1572-8862 (web),90642753,18516182,18516182,Journal of Cluster Science,"The Journal of Cluster Science is a quarterly peer-reviewed scientific journal covering all aspects of cluster science, including nanoclusters and nanoparticles. It is published by Springer Science+Business Media and the editor-in-chief is R.D. Adams.
",,,,,,,,,,,,
87,Combinatorial Chemistry,English,M. G. Finn,M. G. Finn,1999 to December 2020,American Chemical Society (USA),Monthly,3.381 (2019),3.381 (2019),ACS Comb. Sci.,ACS Comb. Sci.,acsccc,2156-8944,2010200851,706967757,706967757,ACS Combinatorial Science,"ACS Combinatorial Science (usually abbreviated as ACS Comb. Sci.), formerly Journal of Combinatorial Chemistry (1999-2010), was a peer-reviewed scientific journal, published since 1999 by the American Chemical Society.  ACS Combinatorial Science publishes articles, reviews, perspectives, accounts and reports in the field of Combinatorial Chemistry. JCS is currently indexed in: Chemical Abstracts Service (CAS), SCOPUS, EBSCOhost, PubMed, and Web of Science.
",,Journal of Combinatorial Chemistry,,,,,,,,,,
